"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"810","Seth Jones","CBJ, NSH","D","81","1417.6","2","15","9","6","17","36.96","132","1.52","5.36","293","190","60","9","4","14","22","11","11","0","0","15","57","23","78","88","95","0","0","-"
"4","Shane Doan","ARI","R","72","995.11666666667","16","14","10","4","30","61.22","117","13.68","10.68","207","165","117","62","5","14","58","22","19","2","1","9","22","24","91","68","14","65","58","52.85"
"625","Shane Prince","NYI, OTT","L","62","680.76666666667","6","11","6","5","17","56.67","86","6.98","6.6","152","112","84","26","10","9","10","5","5","0","0","14","24","19","24","59","14","2","1","66.67"
"30","Shawn Horcoff","ANA","C","59","675.4","5","8","5","3","13","65.00","71","7.04","6.3","110","95","65","33","2","5","26","13","13","0","0","3","28","10","55","44","18","277","265","51.11"
"293","Shawn Matthias","COL, TOR","L","71","845.03333333333","12","15","7","8","27","81.82","90","13.33","9.51","144","120","94","46","5","9","14","7","7","0","0","8","9","26","65","74","32","7","11","38.89"
"11","Shawn Thornton","FLA","L","50","428.35","1","4","4","0","5","62.50","58","1.72","3.31","88","77","35","14","2","6","54","16","12","2","2","10","4","9","73","20","2","6","7","46.15"
"739","Shayne Gostisbehere","PHI","D","64","1022.3833333333","9","15","10","5","24","48.00","86","10.47","4.42","202","133","52","13","2","9","20","10","10","0","0","12","45","26","26","39","55","1","0","100.00"
"794","Shea Theodore","ANA","D","19","288.53333333333","1","4","3","1","5","41.67","15","6.67","0.85","37","24","12","1","1","2","2","1","1","0","0","2","15","7","5","16","18","0","0","-"
"143","Shea Weber","NSH","D","78","1519.7","6","18","11","7","24","38.10","130","4.62","6.68","277","197","53","8","3","11","21","9","8","1","0","7","30","9","154","54","130","0","0","-"
"212","Sidney Crosby","PIT","C","80","1308.8","26","35","21","14","61","81.33","182","14.29","18.91","329","254","192","83","14","21","32","16","16","0","0","23","36","38","81","102","34","770","725","51.51"
"438","Simon Despres","ANA","D","32","549.25","0","3","1","2","3","13.64","27","0.00","2.04","62","43","24","3","3","3","8","4","4","0","0","2","23","10","64","45","59","0","0","-"
"729","Slater Koekkoek","T.B","D","9","92.516666666667","0","1","1","0","1","50.00","11","0.00","0.48","22","16","8","3","0","2","2","1","1","0","0","0","3","3","6","14","5","0","0","-"
"860","Sonny Milano","CBJ","L","3","40.133333333333","0","1","1","0","1","50.00","2","0.00","0.23","5","5","2","1","0","1","0","0","0","0","0","0","1","1","4","8","2","0","0","-"
"573","Stanislav Galiev","WSH","R","24","201.55","0","3","3","0","3","50.00","29","0.00","2.14","50","42","31","6","3","1","4","2","2","0","0","1","6","6","14","21","4","0","0","-"
"474","Stefan Elliott","ARI, NSH","D","21","271.73333333333","2","4","3","1","6","60.00","32","6.25","1.37","62","39","16","4","1","4","4","2","2","0","0","2","5","4","12","27","17","0","0","-"
"717","Stefan Matteau","MTL, N.J","C","32","314.65","1","1","0","1","2","50.00","22","4.55","1.9","45","31","19","7","3","4","10","5","5","0","0","4","8","2","65","49","7","0","0","-"
"683","Stefan Noesen","ANA","R","1","7.5666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","-"
"256","Stephen Gionta","N.J","R","82","847.51666666667","1","10","6","4","11","61.11","57","1.75","5.73","102","83","71","32","3","3","29","13","12","1","0","10","8","14","109","87","28","256","362","41.42"
"524","Stephen Johns","DAL","D","14","240.65","1","2","0","2","3","50.00","13","7.69","0.49","28","21","6","1","0","0","6","3","3","0","0","3","10","6","54","26","21","0","0","-"
"128","Steve Bernier","NYI","R","24","262.01666666667","1","5","1","4","6","75.00","27","3.70","2.29","43","31","25","15","1","2","4","2","2","0","0","1","7","6","42","25","13","0","0","-"
"224","Steve Downie","ARI","R","26","229.11666666667","3","3","2","1","6","66.67","22","13.64","1.89","36","29","18","8","2","2","22","7","6","0","1","8","4","4","29","17","7","2","2","50.00"
"50","Steve Ott","STL","C","21","192.11666666667","0","2","1","1","2","40.00","18","0.00","1.37","26","23","19","8","2","2","20","7","5","2","0","6","1","1","30","14","3","31","23","57.41"
"313","Steven Kampfer","FLA","D","47","658.68333333333","0","3","0","3","3","14.29","53","0.00","1.55","96","72","14","0","2","1","20","10","10","0","0","7","8","5","69","81","63","1","1","50.00"
"801","Steven Santini","N.J","D","1","14.216666666667","0","0","0","0","0","0.00","1","0.00","0.03","1","1","1","0","0","0","2","1","1","0","0","1","1","0","0","2","2","0","0","-"
"369","Steven Stamkos","T.B","C","77","1195.3","20","17","12","5","37","68.52","136","14.71","13.93","255","195","140","68","6","13","30","15","15","0","0","17","31","36","101","67","28","394","393","50.06"
