,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Pavel Datsyuk,FA,C,66,16,33,49,7,14,181,1,8,12,0,0,70,33
Laurent Dauphin,NSH,C,8,1,0,1,0,4,7,0,0,0,0,0,6,7
Brandon Davidson,CGY,D,51,4,7,11,7,20,63,0,2,0,0,1,74,92
Danny DeKeyser,DET,D,78,8,12,20,2,44,72,3,0,0,0,0,88,107
Dylan DeMelo,OTT,D,45,2,2,4,0,14,42,0,2,2,0,0,39,35
Jason Demers,ARI,D,62,7,16,23,16,72,94,1,3,2,1,0,86,73
David Desharnais,FA,C,65,11,18,29,-6,20,90,4,3,2,0,0,31,25
Andrew Desjardins,FA,C,77,8,5,13,-8,30,96,1,0,0,0,0,102,49
Nicolas Deslauriers,ANH,LW,70,6,6,12,-14,59,72,1,0,0,0,0,206,30
Simon Despres,FA,D,32,0,4,4,2,8,32,0,0,1,0,0,67,71
Jason Dickinson,DAL,C,1,1,0,1,1,0,2,0,0,0,0,0,0,1
Darren Dietz,FA,D,13,1,4,5,-1,13,13,0,0,0,0,0,38,14
Brenden Dillon,SJ,D,76,2,9,11,8,61,93,1,0,0,0,0,154,89
Shane Doan,FA,RW,72,28,19,47,4,98,170,4,12,5,0,0,116,15
Max Domi,MON,C,81,18,34,52,3,72,156,0,3,12,0,1,34,25
Joonas Donskoi,COL,RW,76,11,25,36,4,20,107,1,3,5,0,0,31,46
Derek Dorsett,FA,RW,71,5,11,16,-13,177,91,0,0,0,0,1,127,44
Drew Doughty,LA,D,82,14,37,51,24,52,197,3,9,15,1,1,125,105
Nic Dowd,WAS,C,5,0,0,0,1,2,3,0,0,0,0,0,6,0
Steve Downie,ARI,RW,26,3,3,6,1,53,22,0,0,0,0,0,29,7
Leon Draisaitl,EDM,C,72,19,32,51,-2,20,133,2,5,4,0,0,38,18
Jonathan Drouin,MON,C,21,4,6,10,1,4,25,1,0,2,0,0,18,2
Brandon Dubinsky,CLS,C,75,17,31,48,-16,71,158,3,5,5,0,0,235,40
Matt Duchene,NSH,C,76,30,29,59,-8,24,200,6,8,7,0,0,41,37
Anthony Duclair,OTT,LW,81,20,24,44,12,49,105,2,8,4,0,0,27,27
Mathew Dumba,MIN,D,81,10,16,26,1,38,152,3,6,6,0,0,83,56
Brian Dumoulin,PIT,D,79,0,16,16,11,14,101,0,0,0,0,0,77,68
Pascal Dupuis,FA,RW,18,2,2,4,-1,12,28,0,0,0,0,0,35,12
Ryan Dzingel,CAR,C,30,3,6,9,4,11,23,0,0,0,0,0,54,4
David Dziurzynski,FA,LW,14,1,3,4,-4,9,14,0,0,0,0,0,55,7
Cody Eakin,VGK,C,82,16,19,35,3,42,132,1,2,2,3,1,98,47
Patrick Eaves,ANH,RW,54,11,6,17,-5,27,86,2,5,2,0,0,70,20
Jordan Eberle,NYI,RW,69,25,22,47,-12,14,173,4,7,4,0,0,28,23
Alexander Edler,VAN,D,52,6,14,20,-8,46,111,0,3,6,0,0,84,106
Joel Edmundson,STL,D,67,1,8,9,0,63,90,0,0,0,0,0,165,62
Nikolaj Ehlers,WPG,LW,72,15,23,38,3,21,167,0,4,7,0,0,29,25
Christian Ehrhoff,FA,D,48,2,10,12,-11,34,80,0,0,8,0,0,39,35
Jack Eichel,BUF,C,81,24,32,56,-16,22,238,5,8,13,0,0,43,25
Aaron Ekblad,FLA,D,78,15,21,36,18,41,182,4,3,6,0,0,87,59
Mattias Ekholm,NSH,D,82,8,27,35,14,44,114,3,1,4,1,1,67,106
Oliver Ekman-Larsson,ARI,D,75,21,34,55,-6,96,228,8,12,15,0,0,154,67
Patrik Elias,FA,LW,16,2,6,8,5,10,21,0,0,2,0,0,10,1
Lars Eller,WAS,C,79,13,13,26,-13,28,149,2,1,0,1,0,111,36
Stefan Elliott,FA,D,21,2,4,6,-3,4,37,0,0,0,0,0,12,18
Morgan Ellis,FA,D,3,0,0,0,0,2,3,0,0,0,0,0,1,2
Ryan Ellis,NSH,D,79,10,22,32,13,35,152,2,3,4,1,0,61,100
Turner Elson,DET,LW,1,0,1,1,1,0,0,0,0,0,0,0,2,0
Alexei Emelin,FA,D,72,0,12,12,-7,71,71,0,0,0,0,0,256,113
Deryk Engelland,VGK,D,69,3,9,12,7,54,71,0,0,0,0,1,105,107
Tyler Ennis,OTT,LW,23,3,8,11,-9,11,57,0,2,2,0,0,30,8
Toby Enstrom,FA,D,72,2,14,16,8,44,50,0,0,1,0,0,25,96
Jonathan Ericsson,DET,D,71,3,12,15,2,56,68,0,0,0,0,0,121,48
Loui Eriksson,VAN,RW,82,30,33,63,13,12,184,5,10,7,2,1,22,34
Emerson Etem,LA,RW,58,7,8,15,-12,11,100,1,0,0,0,0,87,43
Dennis Everberg,FA,RW,15,0,0,0,-5,0,9,0,0,0,0,0,11,12
Robby Fabbri,STL,LW,72,18,19,37,-2,25,114,3,2,6,0,0,51,9
Radek Faksa,DAL,C,45,5,7,12,9,16,67,1,0,1,0,0,48,33
Justin Falk,FA,D,24,0,4,4,2,17,16,0,0,0,0,0,37,38
Bobby Farnham,FA,LW,53,8,2,10,-2,97,50,0,0,0,0,0,93,19
Hudson Fasching,ARI,RW,7,1,1,2,2,4,9,0,0,0,0,0,8,1
Jesper Fast,NYR,RW,79,10,20,30,9,18,75,3,0,0,0,0,109,55
Justin Faulk,CAR,D,64,16,21,37,-22,27,184,4,12,5,0,0,109,65
Mark Fayne,FA,D,69,2,5,7,-6,18,61,0,0,0,0,1,53,100
Taylor Fedun,DAL,D,1,0,1,1,1,0,0,0,0,0,0,0,3,3
Eric Fehr,FA,RW,55,8,6,14,0,19,74,2,0,1,4,0,60,45
Andrew Ference,FA,D,6,0,0,0,-4,6,4,0,0,0,0,0,10,5
Micheal Ferland,VAN,LW,71,4,14,18,-15,45,122,0,1,1,0,0,207,22
Landon Ferraro,VAN,RW,68,5,5,10,-11,27,77,1,0,0,0,0,101,29
Kevin Fiala,MIN,LW,5,1,0,1,0,0,11,0,0,0,0,0,2,2
Vernon Fiddler,FA,C,82,12,10,22,5,31,98,0,1,1,2,2,42,39
Valtteri Filppula,DET,C,76,8,23,31,-6,46,101,2,1,7,1,0,30,25
Mike Fisher,FA,C,70,13,10,23,-14,29,98,2,3,2,0,1,142,74
Tomas Fleischmann,FA,LW,76,14,11,25,-8,32,123,3,0,1,1,0,40,19
Brian Flynn,FA,C,56,4,6,10,-3,6,73,0,0,0,1,1,23,33
Marcus Foligno,MIN,LW,75,10,13,23,4,79,81,2,0,2,2,0,193,44
Nick Foligno,CLS,LW,72,12,25,37,-14,53,149,2,0,13,0,0,152,46
Christian Folin,MON,D,26,0,4,4,-1,11,14,0,0,0,0,0,38,30
Justin Fontaine,FA,RW,60,5,11,16,3,20,54,1,0,0,0,1,9,24
Derek Forbort,LA,D,14,1,1,2,-1,17,14,0,0,0,0,0,9,7
Filip Forsberg,NSH,RW,82,33,31,64,1,47,247,3,8,15,1,0,114,41
Cam Fowler,ANH,D,69,5,23,28,-8,27,113,0,3,14,0,0,43,112
Cody Franson,FA,D,59,4,13,17,-5,26,92,1,1,6,0,0,61,56
Johan Franzen,DET,RW,2,0,1,1,0,2,3,0,0,1,0,0,3,0
Max Friberg,MON,LW,5,0,0,0,-1,2,1,0,0,0,0,0,7,2
Alex Friesen,FA,C,1,0,0,0,-2,0,1,0,0,0,0,0,1,0
Byron Froese,CGY,C,56,2,3,5,-11,16,64,0,0,0,0,0,51,23
Michael Frolik,CGY,LW,64,15,17,32,1,24,155,4,0,1,2,2,49,44
Marian Gaborik,OTT,RW,54,12,10,22,-6,20,142,3,1,3,0,0,29,17
Kurtis Gabriel,PHI,RW,3,0,0,0,1,10,1,0,0,0,0,0,4,0
Sam Gagner,EDM,C,53,8,8,16,4,25,86,2,2,1,0,0,17,15
Alex Galchenyuk,PIT,RW,82,30,26,56,-8,20,201,4,9,7,0,0,62,36
Stanislav Galiev,FA,RW,24,0,3,3,2,4,30,0,0,0,0,0,14,4
Brendan Gallagher,MON,RW,53,19,21,40,13,24,173,0,7,3,0,0,43,25
Ryan Garbutt,FA,RW,80,7,7,14,-11,48,135,3,0,0,1,0,165,28
Jake Gardiner,CAR,D,79,7,24,31,-15,32,122,2,1,11,0,1,87,67
Jason Garrison,FA,D,72,5,6,11,-4,18,99,1,0,0,0,0,88,105
Tyler Gaudet,TOR,C,14,1,2,3,-2,0,6,0,0,0,0,0,23,4
Johnny Gaudreau,CGY,LW,79,30,48,78,4,20,217,6,6,15,0,0,26,10
Brendan Gaunce,BOS,C,20,1,0,1,-9,2,34,0,0,0,0,0,34,3
Paul Gaustad,FA,C,63,2,4,6,-4,46,46,0,0,0,1,1,114,33
Frederik Gauthier,TOR,C,7,0,1,1,-5,0,3,0,0,0,0,1,10,7
Luke Gazdic,FA,LW,29,1,0,1,-6,24,18,0,0,0,0,0,35,9
Eric Gelinas,FA,D,40,1,5,6,-6,16,55,0,1,3,0,0,61,23
Nathan Gerbe,CLS,LW,47,3,4,7,-15,14,73,0,0,1,0,0,54,10
Ryan Getzlaf,ANH,C,77,13,50,63,14,55,178,5,6,16,0,1,108,61
Tom Gilbert,FA,D,45,1,1,2,3,12,36,0,0,0,0,1,29,88
Brian Gionta,FA,RW,79,12,21,33,-5,12,169,2,1,5,0,0,46,36
Stephen Gionta,FA,C,82,1,10,11,-13,43,62,0,0,0,0,0,113,36
Mark Giordano,CGY,D,82,21,35,56,-5,54,212,2,9,10,1,2,65,193
Dan Girardi,FA,D,74,2,15,17,18,20,77,1,0,0,0,1,168,195
Zemgus Girgensons,BUF,C,71,7,11,18,0,20,110,1,1,1,0,1,125,41
Claude Giroux,PHI,C,78,22,45,67,-8,53,241,5,6,21,1,1,83,36
Phil Di Giuseppe,NYR,LW,41,7,10,17,0,18,68,1,0,0,0,0,113,21
Tanner Glass,FA,LW,57,4,3,7,-3,66,49,0,0,0,0,0,224,18
Luke Glendening,DET,RW,81,8,13,21,4,46,88,3,0,0,0,0,143,71
Nikolay Goldobin,VAN,RW,9,1,1,2,1,0,7,0,0,0,0,0,0,1
Alex Goligoski,ARI,D,82,5,32,37,21,34,127,1,1,4,0,1,100,159
Cody Goloubef,OTT,D,43,1,7,8,-3,20,40,0,0,0,0,0,31,48
Scott Gomez,FA,C,34,1,8,9,-7,6,20,1,0,4,0,0,3,10
Barclay Goodrow,SJ,LW,14,0,3,3,1,16,7,0,0,0,0,1,8,4
Boyd Gordon,FA,C,65,2,2,4,-7,10,53,0,0,0,1,0,21,51
