"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"15","Brian Campbell","FLA","D","82","133.08333333333","25","187","11.79","20","148","11.90","15","109","12.10","2","12","14.29","1.62","13.4","10.77","14","76","15.56","5","36","12.20","0","5","0.00","9","40","18.37","1","5","16.67","7","105","6.25","0","2","0.00","13.33","88.99","1.023","3","16","73","93","3.95","10","27","97","9.35"
"448","Brian Dumoulin","PIT","D","79","102.28333333333","27","155","14.84","24","121","16.55","19","90","17.43","1","9","10.00","1.56","10.36","13.06","14","77","15.38","10","28","26.32","1","3","25.00","4","49","7.55","0","2","0.00","9","75","10.71","0","4","0.00","5.26","90.00","0.953","5","12","72","90","6.49","7","19","81","7.95"
"645","Brian Flynn","MTL","C","56","89.566666666667","14","134","9.46","13","93","12.26","9","59","13.24","2","9","18.18","0.83","8.48","8.91","8","60","11.76","4","22","15.38","2","7","22.22","4","38","9.52","0","1","0.00","4","67","5.63","0","1","0.00","22.22","84.75","1.070","2","17","64","76","3.03","2","22","77","2.53"
"28","Brian Gionta","BUF","R","79","114.25","22","206","9.65","22","172","11.34","17","126","11.89","1","11","8.33","1.36","14.39","8.65","6","101","5.61","4","46","8.00","0","5","0.00","2","55","3.51","0","3","0.00","5","103","4.63","0","3","0.00","5.88","91.27","0.972","1","16","45","122","2.17","4","24","62","6.06"
"640","Brian O'Neill","N.J","R","22","10.25","0","12","0.00","0","11","0.00","0","8","0.00","0","2","0.00","0","0.86","0.00","0","8","0.00","0","2","0.00","0","1","0.00","0","6","0.00","0","1","0.00","0","4","0.00","0","0","-","-","75.00","0.75","0","0","4","24","0.00","0","0","4","0.00"
"275","Brian Strait","NYI","D","52","81.133333333333","21","127","14.19","18","92","16.36","17","69","19.77","3","10","23.08","1.64","9","15.38","13","65","16.67","7","30","18.92","1","5","16.67","6","35","14.63","0","2","0.00","3","50","5.66","1","1","50.00","17.65","85.51","1.032","3","6","40","60","6.98","6","13","62","8.82"
"685","Brock McGinn","CAR","L","21","7.1333333333333","1","14","6.67","1","12","7.69","1","7","12.50","0","0","-","0.03","0.86","3.62","0","5","0.00","0","2","0.00","0","0","-","0","3","0.00","0","0","-","1","8","11.11","0","0","-","0.00","100.00","1.000","0","1","3","5","0.00","1","2","3","25.00"
"500","Brock Nelson","NYI","C","81","38.483333333333","7","48","12.73","5","33","13.16","5","24","17.24","0","4","0.00","0.31","3.43","8.18","2","21","8.70","2","10","16.67","0","2","0.00","0","11","0.00","0","2","0.00","2","24","7.69","0","0","-","0.00","83.33","0.833","5","7","13","56","27.78","5","10","13","27.78"
"81","Brooks Laich","TOR, WSH","C","81","160.08333333333","24","297","7.48","23","230","9.09","16","149","9.70","1","13","7.14","1.05","19.97","5.02","11","142","7.19","4","52","7.14","0","4","0.00","7","90","7.22","0","4","0.00","6","145","3.97","1","5","16.67","6.25","91.28","0.975","4","18","103","146","3.74","5","25","126","3.82"
"46","Brooks Orpik","WSH","D","41","91.9","19","151","11.18","19","111","14.62","16","77","17.20","1","7","12.50","1.29","9.24","12.27","10","77","11.49","6","25","19.35","0","3","0.00","4","52","7.14","1","3","25.00","3","70","4.11","0","1","0.00","6.25","90.91","0.972","1","5","45","70","2.17","8","11","78","9.30"
"345","Bryan Lerg","S.J","C","6","3.35","0","7","0.00","0","6","0.00","0","5","0.00","0","1","0.00","0","0.35","0.00","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","1","0.00","0","5","0.00","0","0","-","-","80.00","0.80","0","0","3","4","0.00","0","0","4","0.00"
"245","Bryan Little","WPG","C","57","116.11666666667","29","214","11.93","24","152","13.64","16","114","12.31","2","17","10.53","2.66","15.17","14.94","16","101","13.68","5","50","9.09","0","9","0.00","11","51","17.74","1","3","25.00","7","101","6.48","1","5","16.67","12.50","85.09","0.976","5","12","128","58","3.76","5","19","165","2.94"
