"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"542","Joel Armia","WPG","R","57","50.216666666667","0","2","1","1","2","50.00","5","0.00","0.94","16","8","11","5","0","1","2","1","1","0","0","0","1","1","1","2","0","0","2","0.00"
"521","Joel Edmundson","STL","D","69","2.3833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","0","-"
"775","Joel Eriksson Ek","MIN","C","15","1.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"637","Joel Vermin","T.B","R","18","2.0333333333333","0","0","0","0","0","-","0","-","0.09","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100.00"
"25","Joel Ward","S.J","R","78","97.55","1","2","1","1","3","60.00","11","9.09","2.31","23","20","21","15","1","1","0","0","0","0","0","0","2","0","2","3","1","16","17","48.48"
"407","Johan Larsson","BUF","C, L","36","16.6","1","0","0","0","1","100.00","4","25.00","1","7","6","6","6","1","2","0","0","0","0","0","2","0","0","1","1","0","3","3","50.00"
"291","John Carlson","WSH","D","72","190.56666666667","3","13","6","7","16","69.57","50","6.00","3.95","98","76","22","1","0","6","2","1","1","0","0","0","8","6","1","5","9","0","0","-"
"643","John Hayden","CHI","L","12","3.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-"
"459","John Klingberg","DAL","D","80","254.38333333333","4","13","7","6","17","44.74","23","17.39","2.97","77","48","28","5","1","6","4","2","2","0","0","0","11","3","0","6","6","1","0","100.00"
"106","John Mitchell","COL","C","65","14.066666666667","0","0","0","0","0","0.00","1","0.00","0.06","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","63.64"
"354","John Moore","N.J","D","63","73.833333333333","1","2","0","2","3","60.00","13","7.69","0.97","26","19","5","2","2","0","2","1","1","0","0","0","2","0","0","3","0","0","0","-"
"734","John Quenneville","N.J","C","12","23.866666666667","1","1","1","0","2","50.00","8","12.50","1.05","11","9","9","3","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","-"
"338","John Tavares","NYI","C","77","240.48333333333","7","11","6","5","18","72.00","68","10.29","9.66","119","95","82","27","1","7","2","1","1","0","0","3","12","4","0","7","0","171","117","59.38"
"39","John-Michael Liles","BOS","D","36","57.083333333333","0","3","2","1","3","42.86","5","0.00","0.41","18","9","3","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","-"
"70","Johnny Boychuk","NYI","D","66","118.3","1","3","2","1","4","44.44","33","3.03","3.18","75","52","19","5","1","3","0","0","0","0","0","0","1","1","3","6","3","0","0","-"
