Name,G,A,Pts,PIM,PPP,SOG,HIT,BLOCKS,+/-
Filip Hronek,8,26,34,44,11,107,97,47,-6
Nolan Patrick,14,20,34,30,5,129,64,25,-3
Valtteri Filppula,14,20,34,20,2,81,19,41,1
Vladislav Namestnikov,13,21,34,40,7,127,108,50,-2
Derek Ryan,13,21,34,24,7,100,30,24,1
Aaron Ekblad,13,21,34,58,10,201,100,94,-1
Tanner Pearson,18,16,34,24,5,166,124,37,-3
Adrian Kempe,15,19,34,54,4,128,94,20,-1
Brandon Montour,9,25,34,49,9,171,98,102,-5
Tyler Myers,7,27,34,59,12,160,87,114,5
Mike Green,9,24,33,34,9,111,67,75,-6
Sam Gagner,13,20,33,20,7,120,30,15,-7
Andrew Shaw,15,18,33,85,6,135,133,37,4
Paul Byron,17,16,33,22,2,100,121,40,9
Martin Necas,10,23,33,28,1,87,42,29,6
Tom Wilson,16,17,33,161,3,119,249,54,7
Emil Bemstrom,20,13,33,12,7,160,40,30,4
Anthony Cirelli,16,17,33,32,0,120,89,44,10
Oscar Lindblom,16,17,33,22,3,161,76,52,-3
Artturi Lehkonen,15,18,33,24,1,179,102,34,2
T.J. Brodie,7,26,33,22,8,95,23,93,7
Jean-Gabriel Pageau,14,19,33,30,4,166,140,77,-6
Damon Severson,8,25,33,54,10,134,88,77,-10
Noah Hanifin,6,27,33,18,7,134,82,81,1
Nick Leddy,7,26,33,18,12,131,82,98,-6
Ivan Provorov,10,23,33,30,3,171,131,164,-1
Jaccob Slavin,8,25,33,16,4,138,56,145,6
Nick Bjugstad,15,17,32,32,5,157,105,20,-1
Evan Bouchard,6,26,32,35,11,125,70,93,-5
Michael Frolik,14,18,32,32,2,148,52,30,6
Owen Tippett,15,17,32,12,5,175,35,40,5
Joonas Donskoi,13,19,32,14,4,122,34,34,5
Vinnie Hinostroza,12,20,32,20,5,145,60,36,0
Anthony Beauvillier,18,14,32,10,3,145,90,33,-2
Evan Rodrigues,11,21,32,22,3,172,36,36,-8
Ilya Mikheyev,15,17,32,10,4,133,56,28,3
Travis Zajac,13,19,32,22,5,114,62,31,-6
Travis Sanheim,8,24,32,28,3,133,50,119,-3
Lars Eller,14,18,32,36,3,151,70,48,4
Colton Parayko,8,24,32,20,9,188,114,143,7
Bryan Rust,14,17,31,20,0,129,109,47,4
Oskar Klefbom,8,23,31,14,11,185,45,122,-4
Erik Haula,14,17,31,32,5,117,49,40,3
Derick Brassard,15,16,31,30,6,144,92,19,-4
Patrick Maroon,14,17,31,67,8,128,137,12,2
Jason Spezza,10,21,31,20,11,129,16,28,-7
Vince Dunn,9,22,31,35,9,152,40,68,5
Warren Foegele,16,15,31,26,0,128,141,21,3
Alex Goligoski,6,25,31,20,8,108,98,144,-9
Devin Shore,11,20,31,14,6,101,76,64,-11
Jimmy Vesey,17,14,31,22,5,140,76,35,-7
