"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"123","Lauri Korpikoski","CBJ, DAL","L","69","93.716666666667","0","1","1","0","1","100.00","4","0.00","0.37","7","5","3","2","0","0","0","0","0","0","0","1","1","1","2","1","6","0","2","0.00"
"737","Lawson Crouse","ARI","L","72","108.26666666667","1","0","0","0","1","100.00","7","14.29","1.29","12","11","6","3","3","0","2","1","1","0","0","4","0","3","3","1","6","0","0","-"
"103","Lee Stempniak","CAR","R","82","1.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","-"
"195","Leo Komarov","TOR","C","82","177.5","1","1","1","0","2","50.00","9","11.11","0.75","10","10","6","4","2","0","13","4","3","1","0","2","4","8","18","3","14","64","75","46.04"
"690","Leon Draisaitl","EDM","C","82","35","0","0","0","0","0","-","1","0.00","0.12","2","2","1","0","0","0","0","0","0","0","0","0","0","3","1","0","1","14","22","38.89"
"241","Logan Couture","S.J","C","73","80.016666666667","0","1","1","0","1","inf","4","0.00","0.25","6","4","3","2","0","0","0","0","0","0","0","2","1","6","2","1","10","17","35","32.69"
"488","Logan Shaw","ANA","C, R","55","80.583333333333","1","1","1","0","2","66.67","2","50.00","0.42","6","4","5","2","1","0","0","0","0","0","0","1","1","2","2","1","3","3","8","27.27"
"96","Loui Eriksson","VAN","L","65","92.583333333333","0","1","1","0","1","100.00","3","0.00","0.22","3","3","3","0","1","0","0","0","0","0","0","0","1","4","0","1","3","0","1","0.00"
"282","Luca Sbisa","VAN","D","82","181.11666666667","0","0","0","0","0","0.00","2","0.00","0.18","4","3","2","0","0","0","0","0","0","0","0","3","5","2","6","3","17","0","0","-"
"470","Lukas Sedlak","CBJ","C","62","35.6","0","0","0","0","0","0.00","1","0.00","0.08","3","2","1","0","0","0","0","0","0","0","0","2","0","1","3","0","2","12","11","52.17"
"552","Luke Glendening","DET","C","74","166.85","0","0","0","0","0","-","6","0.00","0.53","9","9","5","3","0","0","4","2","2","0","0","0","3","4","11","2","15","71","75","48.63"
"275","Luke Schenn","ARI","D","78","175.81666666667","0","0","0","0","0","0.00","2","0.00","0.07","3","3","0","0","0","0","19","4","2","1","1","7","4","2","17","2","28","0","0","-"
"313","Luke Witkowski","T.B","D","34","1.0833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","-"
"341","Magnus Paajarvi","STL","L","32","21.7","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","-"
