"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"532","Alexander Burmistrov","WPG","C","81","76.266666666667","91","14","86.67","73","13","84.88","49","6","89.09","4","0","100.00","5.77","0.59","90.78","40","8","83.33","15","2","88.24","3","0","100.00","25","6","80.65","0","0","-","50","5","90.91","1","0","100.00","8.16","100.00","1.082","18","12","5","73","78.26","28","19","10","73.68"
"183","Alexander Edler","VAN","D","52","168.23333333333","325","34","90.53","240","30","88.89","172","23","88.21","18","2","90.00","21.29","2.28","90.31","162","23","87.57","68","14","82.93","8","2","80.00","94","9","91.26","3","0","100.00","154","5","96.86","7","0","100.00","10.47","91.30","1.018","93","20","1","23","98.94","169","35","8","95.48"
"94","Alexander Semin","MTL","R","15","31.25","42","7","85.71","30","5","85.71","21","4","84.00","2","1","66.67","2.1","0.2","91.19","20","3","86.96","6","1","85.71","1","1","50.00","14","2","87.50","0","0","-","21","1","95.45","1","0","100.00","9.52","75.00","0.845","18","5","1","9","94.74","30","6","2","93.75"
"107","Alexander Steen","STL","L","67","198.21666666667","316","39","89.01","236","34","87.41","164","28","85.42","29","1","96.67","20.09","2.99","87.05","140","21","86.96","47","14","77.05","9","1","90.00","93","7","93.00","8","0","100.00","164","14","92.13","12","0","100.00","17.68","96.43","1.141","117","25","3","45","97.50","184","50","8","95.83"
"759","Alexander Wennberg","CBJ","C","69","150.51666666667","244","35","87.46","200","28","87.72","145","24","85.80","18","4","81.82","22.86","1.77","92.83","145","16","90.06","88","5","94.62","12","1","92.31","57","11","83.82","4","1","80.00","97","8","92.38","2","1","66.67","12.41","83.33","0.957","92","18","1","38","98.92","151","26","6","96.18"
"113","Alexandre Burrows","VAN","L","79","152.46666666667","249","34","87.99","183","30","85.92","124","25","83.22","10","2","83.33","16.34","1.96","89.28","121","19","86.43","50","11","81.97","5","1","83.33","71","8","89.87","2","0","100.00","118","8","93.65","2","1","66.67","8.06","92.00","1.001","103","13","4","35","96.26","161","25","11","93.60"
"182","Alexei Emelin","MTL","D","72","21.9","19","8","70.37","13","6","68.42","7","4","63.64","0","0","-","0.82","0.63","56.64","7","3","70.00","3","2","60.00","0","0","-","4","1","80.00","0","0","-","9","4","69.23","0","0","-","0.00","100.00","1.000","5","10","1","20","83.33","9","14","3","75.00"
"570","Alexey Marchenko","DET","D","66","1.7833333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.11","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","3","1","0","4","100.00","3","1","0","100.00"
"481","Anders Lee","NYI","L","80","200.18333333333","366","36","91.04","262","30","89.73","193","25","88.53","32","2","94.12","27.59","2.4","92.01","208","24","89.66","102","14","87.93","20","1","95.24","106","10","91.38","5","1","83.33","142","6","95.95","6","0","100.00","16.58","92.00","1.086","132","13","1","40","99.25","210","26","4","98.13"
"114","Andre Benoit","STL","D","2","0.96666666666667","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","1","0","-"
